consulta,impresiones,clics,ctr_pct,posicion,intencion
tirzepatida 30 mg,21,1,4.76,12.1,navegacional/otro
retatrutide 30 mg precio,20,1,5.0,15.2,transaccional
tirzepatida de 60 mg precio,17,0,0,15.2,transaccional
tirzepatida 60 mg vial,15,0,0,13.7,navegacional/otro
peptidos tirzepatida,7,0,0,12.7,navegacional/otro
comprar nad+ méxico,6,0,0,15.3,transaccional
dim plm,6,0,0,9.8,navegacional/otro
mots c peptide comprar,5,0,0,19.8,transaccional
tirzepatide 60 mg precio,5,0,0,18,transaccional
omega 3 2500 mg nutricost,4,0,0,11.5,navegacional/otro
omega 3 de nutricost,4,0,0,10.8,navegacional/otro
precio de la retatrutida,4,0,0,8.8,transaccional
pys,4,0,0,8.2,navegacional/otro
tirzepatide 60 mg vial,4,0,0,10.5,navegacional/otro
"""ozempic""",3,0,0,10.3,navegacional/otro
nad+ nutricost,3,0,0,11,navegacional/otro
nutricost mexico,3,0,0,16,transaccional
peptidos igf 1 lr3,3,0,0,11,navegacional/otro
precio,3,0,0,8,transaccional
cuerpo y mente mx,2,0,0,20,transaccional
nad nutricost,2,0,0,9,navegacional/otro
nutricost nad,2,0,0,11,navegacional/otro
omega 3 2500 mg,2,0,0,11,navegacional/otro
omega 3 2500mg,2,0,0,14,navegacional/otro
ozempic,2,0,0,12.5,navegacional/otro
